industry,company,city,state,country,lat,lng,mat_paid,mat_unpaid,pat_paid,pat_unpaid,rating,treatedFairly,wouldRecommend,match401k,childcare,flextime,healthcare,vacationAllowance,balance,culture,flexibility,hours,policies
Media,Sony Music,Rutherford,New Jersey,USA,40.826489,-74.1068091,6,6,0,-5,1,0,100,TRUE,null,null,TRUE,,0,0,3,3,0
Healthcare,UT Southwestern Medical Center,Dallas,Texas,USA,32.7766642,-96.7969879,0,12,-5,-5,1,0,100,TRUE,null,TRUE,TRUE,,0,100,3,3,0
Technology,Atlas Obscura,Brooklyn,New York,USA,40.6781784,-73.9441579,8,-5,-5,-5,1,0,100,FALSE,null,null,FALSE,8,0,0,3,4,0
Healthcare,Abbott Vascular,Lake Bluff,Illinois,USA,42.2791365,-87.8443151,6,12,-5,-5,1,100,100,null,null,null,null,,0,0,2,3,100
Financial Services,Equifax,Alpharetta,Georgia,USA,34.0753762,-84.2940899,-5,12,-5,-5,1,100,100,null,null,null,null,3,0,100,1,3,0
Educational Services,ETS,Ashburn,Virginia,USA,39.0437567,-77.4874416,12,-5,-5,-5,1,100,100,null,null,null,null,3,0,100,3,3,0
Technology,Gorilla Group,Chicago,Illinois,USA,41.8781136,-87.6297982,0,12,-5,-5,1,0,100,TRUE,null,TRUE,TRUE,,15,15,,null,15
Technology,SSB,New Delhi,,India,28.6139391,77.2090212,0,8,-5,-5,1,0,100,TRUE,null,null,FALSE,,15,15,,null,15
Technology,Booker Software,New York,New York,USA,40.7127753,-74.0059728,-5,12,-5,-5,1,0,100,FALSE,null,null,FALSE,2,15,15,,null,15
Technology,Sharp Microelectronics of the Americas,Camas,Washington,USA,45.5870631,-122.3995363,0,12,-5,-5,1,0,100,null,null,null,null,,15,15,,null,15
Advertising and Creative Services,Brand Networks,Boston,Massachusetts,USA,42.3600825,-71.0588801,8,-5,-5,-5,1,0,100,FALSE,null,null,TRUE,3,16,16,,null,16
Advertising and Creative Services,EShots,Chicago,Illinois,USA,41.8781136,-87.6297982,6,6,-5,-5,1,100,100,null,null,null,null,,16,16,,null,16
Advertising and Creative Services,Wolff Olins,London,,United Kingdom,51.5073509,-0.1277583,12,-5,-5,-5,1,100,100,null,null,null,null,4,16,16,,null,16
Real Estate,CWCapital,Bethesda,Maryland,USA,38.984652,-77.0947092,6,6,-5,-5,1,0,100,null,null,TRUE,null,,17,17,,null,17
Colleges & Universities,"Laureate Education, Inc.",Baltimore,Maryland,USA,39.2903848,-76.6121893,12,-5,-5,-5,1,0,100,TRUE,null,null,TRUE,2,20,20,,null,20
Financial Services,"Carlson Capital, LP",Dallas,Texas,USA,32.7766642,-96.7969879,6,6,-5,-5,1,100,100,null,null,TRUE,null,,21,21,,null,21
Financial Services,Amundi,Paris,,France,48.856614,2.3522219,12,-5,-5,-5,1,0,100,null,null,null,TRUE,12,21,21,,null,21
Financial Services,Tennenbaum Capital Partners,Santa Monica,California,USA,34.0194543,-118.4911912,-5,12,-5,-5,1,0,100,null,null,TRUE,null,12,21,21,,null,21
Media,Martha Stewart Living Omnimedia,New York,New York,USA,40.7127753,-74.0059728,1,6,-5,-5,1,100,100,TRUE,null,null,TRUE,,22,22,,null,22
"Defense, Air, & Space",Rockwell Collins,Cedar Rapids,Iowa,USA,41.9778795,-91.6656232,3,12,-5,0,1,0,100,TRUE,null,null,null,,22,22,,null,22
"Defense, Air, & Space",Cessna Aircraft Company,Wichita,Kansas,USA,37.6871761,-97.330053,6,-5,-5,-5,1,100,100,TRUE,null,null,FALSE,6,22,22,,null,22
Healthcare,Crystal Run Healthcare,Middletown,New York,USA,41.4459271,-74.4229341,0,12,0,-5,1,0,100,null,null,null,null,,24,24,,null,24
Healthcare,Teladoc,Purchase,New York,USA,41.0400135,-73.7144477,-5,2,-5,-5,1,0,100,null,null,null,null,2,24,24,,null,24
Healthcare,Creganna Medical,Galway,,Republic of Ireland,53.270668,-9.0567905,6,6,-5,-5,1,0,100,null,null,TRUE,null,,24,24,,null,24
Healthcare,UF Health,Yulee,Florida,USA,30.6319034,-81.6064866,6,6,-5,-5,1,0,100,null,null,FALSE,TRUE,,24,24,,null,24
Legal Services,LawInContext,Singapore,,Singapore,1.352083,103.819836,12,0,-5,-5,1,100,100,null,null,null,null,,25,25,,null,25
Government,Social Security Administration,Woodlawn,Maryland,USA,39.3228841,-76.7280277,0,12,-5,-5,1,0,100,null,null,null,null,,26,26,,null,26
Retail,Sleep Number,Minneapolis,Minnesota,USA,44.977753,-93.2650108,3,9,-5,-5,1,100,100,TRUE,null,null,TRUE,,27,27,,null,27
Legal Services,Lewis Brisbois Bisgaard & Smith LLP,Los Angeles,California,USA,34.0522342,-118.2436849,6,-5,-5,-5,1,0,100,FALSE,null,null,TRUE,6,32,32,,null,32
Legal Services,Mayer Brown,Chicago,Illinois,USA,41.8781136,-87.6297982,18,-5,-5,-5,1,0,100,null,null,null,null,4,32,32,,null,32
Automotive,"BMW of North America, LLC",Woodcliff Lake,New Jersey,USA,41.0234304,-74.0665297,12,-5,-5,-5,1,0,100,TRUE,null,TRUE,TRUE,12,100,0,1,3,0
Automotive,Bendix Commercial Vehicle Systems,Elyria,Ohio,USA,41.3683798,-82.1076486,0,12,-5,-5,1,0,100,TRUE,null,null,TRUE,,100,0,2,3,0
Retail,Aldi US,Essen,,Germany,51.4556432,7.0115552,6,6,-5,-5,1,0,100,null,null,null,null,,100,0,1,3,0
Technology,Websense,San Diego,California,USA,32.715738,-117.1610838,5,7,-5,-5,1,0,100,null,null,null,null,,,,1,4,
Other,Brookdale Senior Living,Charlotte,North Carolina,USA,35.2270869,-80.8431267,6,12,12,-5,1,0,100,TRUE,null,TRUE,TRUE,,,,3,3,
Legal Services,Foley & Lardner LLP,Milwaukee,Wisconsin,USA,43.0389025,-87.9064736,18,-5,-5,-5,1,100,100,TRUE,null,null,null,3,,,3,3,
