classification,region,country,countryAbbrev,note,matLeave,matLeavePay,matLeavePayText,patLeave,patLeavePay,patLeavePayText,parentalLeave,parentalLeavePay,parentalLeavePayText,source,,,,,
developed,North America,United States,USA,12 weeks unpaid parental leave for each parent.,0,0%,at 0% pay,0,0%,(unpaid),12,0%,(unpaid),N/A,,,,,
developed,Asia and Pacific,Hong Kong,HKG,,10,80%,at 80% pay,0,0%,(unpaid),0,0%,(unpaid),Mixed (employer liability and public funds),,,,,
developed,Asia and Pacific,New Zealand,NZL,"14 consecutive days paternal leave, 52 weeks unpaid parental leave total, for either parent.",14,100%,at 100% pay,2,0%,(unpaid),52,0%,(unpaid),Social security (public funds - State),,,,,
developed,Asia and Pacific,Japan,JPN,"52 weeks unpaid parental leave, mothers only.",14,67%,at 67% pay,0,0%,(unpaid),52,50%,at 50% pay,Social security (social insurance),,,,,
developed,North America,Québec,QUE,"Option 1: 18 weeks maternal leave, 5 weeks paternal leave, both at 70% pay (max $975/week), 32 weeks parental leave at 70% pay for 7 weeks and 55% pay for 25 weeks.
Option 2: 15 weeks maternal leave, 3 weeks paternal leave, both at 75% pay (max $1046/week), 25 weeks parental leave at 75% pay.",18,70%,at 70% pay,5,70%,at 70% pay,35,70%,at 70% pay,Social security,,,,,Option 1: 7 weeks at 70% (up to maximum $975 per week) + 25 weeks at 55% (up to maximum $767 per week)[72]Option 2: 75% (up to maximum $1024 per week)
developed,Asia and Pacific,Australia,AUS,"18 weeks maternal leave, 2 weeks paternal leave, both at the federal minimum wage level, 52 weeks total parental leave.",52,100%,at 100% pay,2,100%,at 100% pay,52,100%,at 100% pay,Social security (social insurance),,,,,
developed,Europe,Iceland,ISL,,13,80%,at 80% pay,12,80%,at 80% pay,26,80%,at 80% pay,,,,,,
developed,Europe,Germany,DEU,,14,100%,at 100% pay,0,0%,(unpaid),156,67%,at 67% pay,Mixed (social security & employer liability),,,,,
developed,Europe,Switzerland,CHE,,14,80%,at 80% pay,0,0%,(unpaid),0,0%,at 0% pay,Social security,,,,,
developed,Europe,Belgium,BEL,"82% pay for 4 weeks, 75% pay for remaining.",15,82%,at 82% pay,2,100%,at 100% pay,17,a flat rate,at a flat rate,Mixed (3 days paternity leave employer liability; Social security),,,,,
developed,Europe,Slovenia,SVN,,15,100%,at 100% pay,12,100%,at 100% pay,37,90%,at 90% pay,Social security,,,,,
developed,North America,Canada,CAN,"55% pay, up to 80% for low-income familes (up to $524/week), 35 weeks total parental leave.",15,55%,at 55% pay,0,0%,(unpaid),35,55%,at 55% pay,Social security,,,,,Option 1: 32[72]Option 2: 25
developed,Europe,Spain,ESP,"6 weeks mandatory maternal leave, the remaining can be transfered to or split with the father.",16,100%,at 100% pay,4,100%,at 100% pay,156,0%,(unpaid),Social security,,,,,
developed,Europe,France,FRA,,16,70%,at 70% pay,2,100%,at 100% pay,156,a flat rate,at a flat rate,Social security,,,,,
developed,Europe,Latvia,LVA,,16,80%,at 80% pay,2,80%,at 80% pay,78,70%,at 70% pay,Social security,,,,,
developed,Europe,Luxembourg,LUX,,16,100%,at 100% pay,1,100%,at 100% pay,26,a flat rate,at a flat rate,Mixed (employer liability paternity leave; social security remainder),,,,,
developed,Europe,Netherlands,NLD,,16,100%,at 100% pay,1,100%,at 100% pay,26,0%,(unpaid),Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developed,Europe,Austria,AUT,104 weeks parental leave at a flat-rate benefit,16,100%,at 100% pay,0,0%,(unpaid),104,a flat rate,at a flat rate,Social security,,,,,
developed,Europe,Portugal,PRT,"17 weeks maternal leave at 100% pay, or 21 weeks at 80% pay. 13 weeks unpaid parental leave for each parent. Sharing bonus of 4 weeks if initial leave is shared.",17,100%,at 100% pay,3,100%,at 100% pay,13,25%,at 25% pay,Social security,,,,,
developed,Europe,Greece,GRC,,17,100%,at 100% pay,1,100%,at 100% pay,17,0%,(unpaid),Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developed,Europe,Romania,ROU,"9 weeks maternal leave before anticipated birth, 9 weeks after, both at 85% pay. 5 days paid paternal leave, 15 if an infant course is taken. One parent is entitles to 104 weeks unpaid parental leave, the other to 4 weeks.",18,85%,at 85% pay,5,100%,at 100% pay,On,85%,at 85% pay,Social security,,,,,
developed,Europe,Lithuania,LTU,,18,100%,at 100% pay,4,100%,at 100% pay,156,100%,at 100% pay,Social security,,,,,
developed,Europe,Denmark,DNK,,18,100%,at 100% pay,2,100%,at 100% pay,32,100%,at 100% pay,Mixed (social security & employer),,,,,
developed,Europe,Finland,FIN,,18,70%,at 70% pay,11,70%,at 70% pay,26,70%,at 70% pay,Social security,,,,,
developed,Europe,Cyprus,CYP,,18,75%,at 75% pay,0,0%,(unpaid),13,0%,(unpaid),Social security,,,,,
developed,Europe,Malta,MLT,100% for 14 weeks.,18,100%,at 100% pay,0,0%,(unpaid),13,0%,(unpaid),Mixed (social security & employer liability),,,,,
developed,Europe,Italy,ITA,,22,80%,at 80% pay,1,100%,at 100% pay,26,30%,at 30% pay,Social security,,,,,
developed,Europe,Hungary,HUN,,24,70%,at 70% pay,1,100%,at 100% pay,156,70%,at 70% pay,Social security,,,,,
developed,Europe,Poland,POL,,26,100%,at 100% pay,2,100%,at 100% pay,156,60%,at 60% pay,Social security,,,,,
developed,Europe,Czech Republic,CZE,,28,70%,at 70% pay,0,0%,(unpaid),156,a flat rate,at a flat rate,Social security,,,,,
developed,Europe,Slovakia,SVK,,34,65%,at 65% pay,0,0%,(unpaid),156,a flat rate,at a flat rate,Social security,,,,,
developed,Europe,Norway,NOR,"35 weeks maternal leave at 100% pay, or 45 weeks at 80% pay. 0-10 weeks paternal leave at 100% or 80% pay, depending on mother's tax contributions in Norway.",35,100%,at 100% pay,5,100%,at 100% pay,36,100%,at 100% pay,Social security,,,,,
developed,Europe,Ireland,IRL,"80% pay for 26 weeks, unpaid remainder",42,80%,at 80% pay,2,50%,at 50% pay,18,0%,(unpaid),Social security,,,,,
developed,Europe,United Kingdom,GBR,"2 weeks mandatory maternal leave, remaning can be split with second parent. 90% for 6 weeks, flat-rate benefit for 32 weeks.",52,95%,at 95% pay,2,90%,at 90% pay,13,0%,(unpaid),Mixed (employers reimbursed),,,,,
developed,Europe,Bulgaria,BGR,,58,95%,at 95% pay,2,90%,at 90% pay,104,a flat rate,at a flat rate,Social security,,,,,
developed,Europe,Croatia,HRV,"100% pay for 26 weeks, flat-rate benefit for remainder.",58,100%,at 100% pay,2,100%,at 100% pay,156,0%,(unpaid),Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developed,Europe,Estonia,EST,,62,100%,at 100% pay,2,100%,at 100% pay,36,0%,(unpaid),Social security,,,,,
developed,Europe,Sweden,SWE,,68,80%,at 80% pay,18,80%,at 80% pay,60,80%,at 80% pay,Social security,,,,,
developing,Africa,Tunisia,-,,4,67%,,1,100%,,0,0%,,Social security,,,,,
developing,Asia and Pacific,Papua New Guinea,-,,6,0%,,0,0%,,0,0%,,N/A,,,,,
developing,Asia and Pacific,United Arab Emirates,-,,6,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Nepal,-,4 weeks of unpaid parental leave for any permanent worker/employee.,7,100%,,0,0%,,4,0%,,Employer liability,,,,,
developing,Asia and Pacific,Lebanon,-,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Oman,-,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Qatar,-,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Puerto Rico,-,,8,100%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Malawi,-,,8,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Sudan,-,,8,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Mozambique,-,,9,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Asia and Pacific,Philippines,-,,9,100%,,1,100%,,0,0%,,Social security (social insurance),,,,,
developing,Africa,Cabo Verde,-,,9,90%,,0,0%,,0,0%,,Social security,,,,,
