classification,region,country,matNote,patNote,parNote,matLeave,matLeavePay,matLeavePayText,patLeave,patLeavePay,patLeavePayText,parentalLeave,parentalLeavePay,parentalLeavePayText,source,,,,,
developed,North America,United States,,,12 weeks unpaid parental leave for each parent.,0,0%,at 0% pay,0,0%,(unpaid),12,0%,(unpaid),,,,,,
developed,Asia and Pacific,Hong Kong,,,,10,80%,at 80% pay,0,0%,(unpaid),0,0%,(unpaid),both public funds and employer,,,,,
developed,Asia and Pacific,New Zealand,,2 consecutive weeks of paternal leave.,"52 weeks unpaid parental leave total, for either parent.",14,100%,at 100% pay,2,0%,(unpaid),52,0%,(unpaid),social security,,,,,
developed,Asia and Pacific,Japan,,,"52 weeks unpaid parental leave, mothers only.",14,67%,at 67% pay,0,0%,(unpaid),52,50%,at 50% pay,social security,,,,,
developed,North America,Québec,"Option 1: 18 weeks maternal leave, 5 weeks paternal leave, both at 70% pay. 32 weeks parental leave at 70% pay for 7 weeks and 55% pay for 25 weeks.
Option 2: 15 weeks maternal leave, 3 weeks paternal leave, both at 75% pay, 25 weeks parental leave at 75% pay.",,,18,70%,at 70% pay,5,70%,at 70% pay,35,70%,at 70% pay,social security,,,,,Option 1: 7 weeks at 70% (up to maximum $975 per week) + 25 weeks at 55% (up to maximum $767 per week)[72]Option 2: 75% (up to maximum $1024 per week)
developed,Asia and Pacific,Australia,18 weeks maternal leave at the federal minimum wage level.,2 weeks paternal leave at the federal minimum wage level.,52 weeks total parental leave.,52,100%,at 100% pay,2,100%,at 100% pay,52,100%,at 100% pay,social security,,,,,
developed,Europe,Iceland,,,,13,80%,at 80% pay,12,80%,at 80% pay,26,80%,at 80% pay,social security,,,,,
developed,Europe,Germany,,,,14,100%,at 100% pay,0,0%,(unpaid),156,67%,at 67% pay,both social security and employer,,,,,
developed,Europe,Switzerland,,,,14,80%,at 80% pay,0,0%,(unpaid),0,0%,at 0% pay,ocial security,,,,,
developed,Europe,Belgium,82% pay for 4 weeks and 75% pay for the remaining weeks.,,,15,82%,at 82% pay,2,100%,at 100% pay,17,a flat rate,at a flat rate,both social security and employer,,,,,
developed,Europe,Slovenia,,,,15,100%,at 100% pay,12,100%,at 100% pay,37,90%,at 90% pay,social security,,,,,
developed,North America,Canada,"55% pay, up to 80% for low-income familes (up to $524/week), 35 weeks total parental leave.",,,15,55%,at 55% pay,0,0%,(unpaid),35,55%,at 55% pay,social security,,,,,Option 1: 32[72]Option 2: 25
developed,Europe,Spain,"6 weeks mandatory maternal leave, and the remaining weeks can be transferred to or split with the father.",,,16,100%,at 100% pay,4,100%,at 100% pay,156,0%,(unpaid),social security,,,,,
developed,Europe,France,,,,16,70%,at 70% pay,2,100%,at 100% pay,156,a flat rate,at a flat rate,social security,,,,,
developed,Europe,Latvia,,,,16,80%,at 80% pay,2,80%,at 80% pay,78,70%,at 70% pay,social security,,,,,
developed,Europe,Luxembourg,,,,16,100%,at 100% pay,1,100%,at 100% pay,26,a flat rate,at a flat rate,employer for paternity leave and social security for remainder,,,,,
developed,Europe,Netherlands,,,,16,100%,at 100% pay,1,100%,at 100% pay,26,0%,(unpaid),social security for maternity leave and employer for paternity leave,,,,,
developed,Europe,Austria,,,104 weeks parental leave at a flat-rate benefit.,16,100%,at 100% pay,0,0%,(unpaid),104,a flat rate,at a flat rate,social security,,,,,
developed,Europe,Portugal,"17 weeks maternal leave at 100% pay, or 21 weeks at 80% pay. ",,13 weeks unpaid parental leave for each parent. Bonus of 4 weeks if initial leave is shared.,17,100%,at 100% pay,3,100%,at 100% pay,13,25%,at 25% pay,social security,,,,,
developed,Europe,Greece,,,,17,100%,at 100% pay,1,100%,at 100% pay,17,0%,(unpaid),social security for maternity leave and employer for paternity leave,,,,,
developed,Europe,Romania,"9 weeks maternal leave before anticipated birth, 9 weeks after, both at 85% pay.","5 days paid paternal leave, 15 if an infant course is taken.","One parent is entitled to 104 weeks unpaid parental leave, the other to 4 weeks.",18,85%,at 85% pay,5,100%,at 100% pay,104,85%,at 85% pay,social security,,,,,
developed,Europe,Lithuania,,,,18,100%,at 100% pay,4,100%,at 100% pay,156,100%,at 100% pay,social security,,,,,
developed,Europe,Denmark,,,,18,100%,at 100% pay,2,100%,at 100% pay,32,100%,at 100% pay,both social security and employer,,,,,
developed,Europe,Finland,,,,18,70%,at 70% pay,11,70%,at 70% pay,26,70%,at 70% pay,social security,,,,,
developed,Europe,Cyprus,,,,18,75%,at 75% pay,0,0%,(unpaid),13,0%,(unpaid),social security,,,,,
developed,Europe,Malta,100% for 14 weeks.,,,18,100%,at 100% pay,0,0%,(unpaid),13,0%,(unpaid),both social security and employer ,,,,,
developed,Europe,Italy,,,,22,80%,at 80% pay,1,100%,at 100% pay,26,30%,at 30% pay,social security,,,,,
developed,Europe,Hungary,,,,24,70%,at 70% pay,1,100%,at 100% pay,156,70%,at 70% pay,social security,,,,,
developed,Europe,Poland,,,,26,100%,at 100% pay,2,100%,at 100% pay,156,60%,at 60% pay,social security,,,,,
developed,Europe,Czech Republic,,,,28,70%,at 70% pay,0,0%,(unpaid),156,a flat rate,at a flat rate,social security,,,,,
developed,Europe,Slovakia,,,,34,65%,at 65% pay,0,0%,(unpaid),156,a flat rate,at a flat rate,social security,,,,,
developed,Europe,Norway,"35 weeks maternal leave at 100% pay, or 45 weeks at 80% pay.","0-10 weeks paternal leave at 100% or 80% pay, depending on mother's tax contributions in Norway.",,35,100%,at 100% pay,5,100%,at 100% pay,36,100%,at 100% pay,social security,,,,,
developed,Europe,Ireland,"80% pay for 26 weeks, with the remainder being unpaid. ",,,42,80%,at 80% pay,2,50%,at 50% pay,18,0%,(unpaid),social security,,,,,
developed,Europe,United Kingdom,2 weeks mandatory maternal leave and the remaning weeks can be split with the second parent. 90% for 6 weeks and flat-rate benefit for 32 weeks.,,,52,95%,at 95% pay,2,90%,at 90% pay,13,0%,(unpaid),employer with reimbursement,,,,,
developed,Europe,Bulgaria,,,,58,95%,at 95% pay,2,90%,at 90% pay,104,a flat rate,at a flat rate,social security,,,,,
developed,Europe,Croatia,100% pay for 26 weeks and flat-rate benefit for remainder.,,,58,100%,at 100% pay,2,100%,at 100% pay,156,0%,(unpaid),both social security and employer,,,,,
developed,Europe,Estonia,,,,62,100%,at 100% pay,2,100%,at 100% pay,36,0%,(unpaid),social security,,,,,
developed,Europe,Sweden,,,,68,80%,at 80% pay,18,80%,at 80% pay,60,80%,at 80% pay,social security,,,,,
developing,Africa,Tunisia,,,,4,67%,,1,100%,,0,0%,,Social security,,,,,
developing,Asia and Pacific,Papua New Guinea,,,,6,0%,,0,0%,,0,0%,,N/A,,,,,
developing,Asia and Pacific,United Arab Emirates,,,,6,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Nepal,4 weeks of unpaid parental leave for any permanent worker/employee.,,,7,100%,,0,0%,,4,0%,,Employer liability,,,,,
developing,Asia and Pacific,Lebanon,,,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Oman,,,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Qatar,,,,7,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Puerto Rico,,,,8,100%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Malawi,,,,8,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Sudan,,,,8,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Mozambique,,,,9,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Asia and Pacific,Philippines,,,,9,100%,,1,100%,,0,0%,,Social security (social insurance),,,,,
developing,Africa,Cabo Verde,,,,9,90%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Eritrea,,,,9,,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Guinea-Bissau,,,,9,100%,,0,0%,,0,0%,,"Mixed (social security flat rate, employer pays the difference to equal wage)",,,,,
developing,Africa,Sao Tome and Principe,,,,9,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Asia and Pacific,Brunei Darussalam,100% pay for 8 weeks,,,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Malaysia,,,,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Bahrain,100% pay for 45 days,,,9,100%,,0,0%,,26,0%,,Employer liability,,,,,
developing,Asia and Pacific,Iraq,"52 weeks unpaid parental leave, mothers only.",,,9,100%,,0,0%,,52,0%,,Employer liability,,,,,
developing,Asia and Pacific,Yemen,,,,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Jordan,,,,10,100%,,0,0%,,52,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Kuwait,,,,10,100%,,0,0%,,17,0%,,Employer liability,,,,,
developing,Asia and Pacific,Saudi Arabia,1 day paternal leave at 100% pay.,,,10,100%,,.1,100%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Myanmar,,,,12,67%,,1,100%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Fiji,,,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,India,,,,12,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Kiribati,,,,12,25%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Pakistan,,,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Solomon Islands,,,,12,25%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Sri Lanka,,,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Vanuatu,,,,12,67%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Cambodia,,,,13,50%,,1.5,100%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Afghanistan,90 days,,,13,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Iran,,,,13,67%,,0,0%,,0,0%,,Social security (social insurance),,,,,
